   40 1134    11.340
   44 1055    10.550
  736  170    1.700
 1158  169    1.690
  636  168    1.680
 3173  168    1.680
 2168  168    1.680
 2180  168    1.680
  317  168    1.680
 2902  167    1.670
 1531  167    1.670
 1331  166    1.660
 1786  166    1.660
 2836  166    1.660
 1955  165    1.650
  208  164    1.640
  280  163    1.630
14294  163    1.630
 2261  163    1.630
 6916  163    1.630
 2834  162    1.620
  149  162    1.620
 6907  162    1.620
 1895  162    1.620
 1207  162    1.620
 2815  162    1.620
10632  161    1.610
10380  161    1.610
 8467  161    1.610
 2825  160    1.600
  686  160    1.600
 1936  160    1.600
 1138  160    1.600
   45  159    1.590
 8440  158    1.580
   69  158    1.580
 3109  157    1.570
  305  156    1.560
 1017  155    1.550
10373  155    1.550
 2919  153    1.530
 2862  153    1.530
 1073  153    1.530
   17  153    1.530
  415  152    1.520
 2090  151    1.510
  281  151    1.510
   13  150    1.500
  427  150    1.500
  673  150    1.500
 4545  149    1.490
 2133  149    1.490
 2453  149    1.490
10608  149    1.490
 3309  149    1.490
   83  148    1.480
   67  148    1.480
  424  147    1.470
 7155  147    1.470
 4612  147    1.470
 2821  147    1.470
  215  147    1.470
  150  147    1.470
  235  147    1.470
  621  146    1.460
   75  146    1.460
10620  146    1.460
 4629  146    1.460
10659  145    1.450
  344  144    1.440
10342  144    1.440
10349  144    1.440
10729  144    1.440
  182  143    1.430
 6914  142    1.420
 5025  142    1.420
 5488  142    1.420
   29  141    1.410
10393  141    1.410
 8308  141    1.410
  915  139    1.390
  730  139    1.390
 5415  139    1.390
 6921  139    1.390
10661  139    1.390
10650  139    1.390
 1632  138    1.380
 1497  138    1.380
  853  138    1.380
 1552  137    1.370
 2842  137    1.370
10665  137    1.370
 3154  137    1.370
  167  137    1.370
 1505  135    1.350
  626  135    1.350
 1578  135    1.350
  654  134    1.340
 1029  134    1.340
  158  132    1.320
  263  132    1.320
   20  132    1.320
 1075  132    1.320
10395  132    1.320
10963  132    1.320
10359  132    1.320
10333  131    1.310
10605  131    1.310
  147  130    1.300
  773  130    1.300
   50  130    1.300
 2840  129    1.290
 2954  129    1.290
  444  128    1.280
10621  128    1.280
10348  128    1.280
  282  128    1.280
 1542  128    1.280
  679  127    1.270
10361  127    1.270
 1906  127    1.270
  115  126    1.260
  658  126    1.260
 2262  126    1.260
 6934  126    1.260
 2669  125    1.250
10610  125    1.250
  740  125    1.250
  629  125    1.250
10717  125    1.250
 5331  125    1.250
 1771  125    1.250
 9109  124    1.240
 6902  124    1.240
 2892  124    1.240
  230  124    1.240
 5016  124    1.240
 2163  124    1.240
  760  124    1.240
 2975  123    1.230
 2847  123    1.230
13599  123    1.230
 1999  122    1.220
10637  121    1.210
 2664  121    1.210
 1912  121    1.210
  237  121    1.210
13142  121    1.210
13932  121    1.210
  433  121    1.210
 3080  121    1.210
  630  121    1.210
10612  121    1.210
 2806  121    1.210
 6614  120    1.200
    0  120    1.200
 5681  120    1.200
11208  119    1.190
 6904  119    1.190
 1870  119    1.190
 1883  119    1.190
 2038  119    1.190
 2147  119    1.190
10394  119    1.190
 2371  119    1.190
 2912  118    1.180
 1451  118    1.180
 2284  118    1.180
  754  118    1.180
  217  118    1.180
 1027  118    1.180
 1508  118    1.180
 1910  118    1.180
 9595  117    1.170
 1077  117    1.170
 3784  117    1.170
 4840  117    1.170
  213  117    1.170
  253  117    1.170
  457  117    1.170
11003  117    1.170
 1994  117    1.170
 1956  116    1.160
  109  116    1.160
10627  115    1.150
  703  115    1.150
 1460  115    1.150
   42  115    1.150
  970  115    1.150
 1815  114    1.140
 1444  114    1.140
 1562  114    1.140
 1448  114    1.140
10374  113    1.130
13931  113    1.130
  324  113    1.130
  449  113    1.130
 1901  113    1.130
  231  113    1.130
   12  113    1.130
 7558  112    1.120
 6910  112    1.120
13962  112    1.120
  389  112    1.120
 1559  112    1.120
 6609  112    1.120
  678  112    1.120
 5642  112    1.120
 2809  112    1.120
  223  111    1.110
10871  111    1.110
 4985  111    1.110
 5215  111    1.110
  362  111    1.110
 2808  110    1.100
 1917  109    1.090
10642  109    1.090
10635  109    1.090
 4723  109    1.090
 6595  109    1.090
 1051  109    1.090
 6863  109    1.090
 1890  109    1.090
 2883  109    1.090
14814  108    1.080
 1998  108    1.080
13728  108    1.080
 7084  108    1.080
 6677  108    1.080
 9949  108    1.080
  836  108    1.080
 1455  107    1.070
10618  107    1.070
  721  107    1.070
 2839  107    1.070
10371  107    1.070
24824  107    1.070
 5655  107    1.070
  622  107    1.070
 1074  106    1.060
10339  106    1.060
11568  106    1.060
 2712  106    1.060
  431  106    1.060
 6898  106    1.060
 3801  106    1.060
 3060  105    1.050
 2995  105    1.050
  554  105    1.050
 4548  105    1.050
20323  105    1.050
  221  105    1.050
 1446  104    1.040
 6899  103    1.030
11260  103    1.030
 1935  103    1.030
 6911  103    1.030
  590  103    1.030
 1891  103    1.030
  491  102    1.020
 8898  102    1.020
  639  101    1.010
 3558  101    1.010
  254  101    1.010
  234  101    1.010
 2483  101    1.010
 3063  101    1.010
  227  101    1.010
  647  101    1.010
 6612  100    1.000
 5003  100    1.000
 7162  100    1.000
 9112  100    1.000
 5310  100    1.000
 1520   99    0.990
10690   99    0.990
 6585   99    0.990
  364   99    0.990
22194   98    0.980
 5014   98    0.980
  644   98    0.980
10683   98    0.980
11583   98    0.980
 6598   98    0.980
 3417   98    0.980
 8983   98    0.980
  226   98    0.980
 7103   98    0.980
10676   97    0.970
 5610   97    0.970
 2386   97    0.970
10397   97    0.970
13928   97    0.970
  962   97    0.970
 2767   97    0.970
 1984   97    0.970
  183   97    0.970
 1005   96    0.960
  653   96    0.960
 1863   96    0.960
10674   96    0.960
 5670   96    0.960
 1868   96    0.960
 2913   96    0.960
10724   96    0.960
11377   96    0.960
  632   95    0.950
 4657   95    0.950
 1861   95    0.950
 1530   95    0.950
 4843   95    0.950
 1319   95    0.950
14604   95    0.950
10708   95    0.950
 2990   95    0.950
10338   95    0.950
 5724   94    0.940
 9661   94    0.940
 2865   94    0.940
 2216   94    0.940
 2948   94    0.940
 3672   94    0.940
10353   94    0.940
  568   94    0.940
 6782   93    0.930
 1523   93    0.930
10402   93    0.930
10639   93    0.930
 3158   93    0.930
25862   93    0.930
 5021   93    0.930
 2222   92    0.920
  216   92    0.920
 2360   92    0.920
  173   92    0.920
 1160   92    0.920
10345   92    0.920
10604   92    0.920
10652   91    0.910
 8385   91    0.910
13910   91    0.910
 1154   91    0.910
 3314   91    0.910
 2140   91    0.910
 8466   91    0.910
10458   91    0.910
 7844   91    0.910
 7298   91    0.910
10376   91    0.910
 7524   90    0.900
 9014   90    0.900
 3883   90    0.900
  222   90    0.900
 9944   90    0.900
 5656   90    0.900
   47   90    0.900
 2849   90    0.900
  662   90    0.900
10877   89    0.890
 2810   89    0.890
18322   89    0.890
 5028   89    0.890
 1353   89    0.890
 1511   89    0.890
 9874   89    0.890
 3479   89    0.890
  969   89    0.890
13729   89    0.890
 7220   88    0.880
  650   88    0.880
  633   88    0.880
 5591   88    0.880
 8493   88    0.880
 3350   88    0.880
  852   88    0.880
10332   87    0.870
10622   87    0.870
 7602   87    0.870
 1525   87    0.870
  572   87    0.870
10648   87    0.870
 3885   87    0.870
 5761   87    0.870
 1940   87    0.870
 1453   87    0.870
 7115   87    0.870
10370   87    0.870
   68   86    0.860
12577   86    0.860
 6913   86    0.860
 5270   85    0.850
 3305   85    0.850
  625   85    0.850
28167   85    0.850
 2495   85    0.850
 8469   85    0.850
10685   85    0.850
 6214   84    0.840
10645   84    0.840
 1667   84    0.840
   18   84    0.840
 5632   84    0.840
 2832   84    0.840
 2134   84    0.840
  418   84    0.840
 3338   84    0.840
  977   84    0.840
 2176   84    0.840
 6118   83    0.830
 1015   83    0.830
 3933   83    0.830
 2833   83    0.830
    2   83    0.830
 1109   83    0.830
 6936   83    0.830
10960   83    0.830
  984   83    0.830
 9126   82    0.820
 5746   82    0.820
 9569   82    0.820
 2947   82    0.820
 8588   82    0.820
   37   82    0.820
 5665   82    0.820
  413   82    0.820
17304   82    0.820
  753   82    0.820
 1094   82    0.820
 2917   82    0.820
 6050   82    0.820
10743   82    0.820
 6217   82    0.820
 2136   81    0.810
 1909   81    0.810
10334   81    0.810
 3710   81    0.810
 1068   81    0.810
 2146   81    0.810
 5727   81    0.810
 5430   81    0.810
 2910   81    0.810
11204   81    0.810
 6636   81    0.810
 1080   81    0.810
 2379   80    0.800
   26   80    0.800
 2873   80    0.800
 7528   80    0.800
 6198   80    0.800
 4871   80    0.800
 4617   80    0.800
 4690   80    0.800
10660   79    0.790
 2404   79    0.790
16728   79    0.790
10644   79    0.790
  412   79    0.790
 7374   79    0.790
  687   79    0.790
 5635   79    0.790
  493   79    0.790
28911   78    0.780
 5901   78    0.780
 6903   78    0.780
 1899   78    0.780
10337   78    0.780
 6372   78    0.780
11346   78    0.780
 1164   78    0.780
 5667   78    0.780
 1762   78    0.780
  959   78    0.780
 2843   78    0.780
10663   78    0.780
 2355   78    0.780
10777   78    0.780
 9220   77    0.770
 2408   77    0.770
 5408   77    0.770
 2428   77    0.770
 5425   77    0.770
  211   77    0.770
13084   77    0.770
 2432   77    0.770
 3739   77    0.770
23929   77    0.770
 2297   77    0.770
27333   77    0.770
 2908   77    0.770
  582   77    0.770
 2356   77    0.770
 4835   77    0.770
10343   77    0.770
  387   77    0.770
 5033   77    0.770
 5785   77    0.770
11948   76    0.760
10631   76    0.760
  246   76    0.760
 2103   76    0.760
 8715   76    0.760
 3523   76    0.760
13683   76    0.760
 9018   76    0.760
 5679   76    0.760
11334   76    0.760
 7114   76    0.760
10336   76    0.760
  179   76    0.760
 1509   76    0.760
 6664   76    0.760
10830   75    0.750
 1502   75    0.750
 5441   75    0.750
 6620   75    0.750
  342   75    0.750
 2052   75    0.750
  238   75    0.750
10410   75    0.750
 8725   75    0.750
10542   75    0.750
 7375   75    0.750
  712   75    0.750
 5318   75    0.750
 3227   75    0.750
 5744   75    0.750
 2672   74    0.740
   11   74    0.740
 2455   74    0.740
 2287   74    0.740
  319   74    0.740
  171   74    0.740
 8967   74    0.740
 2820   74    0.740
 1590   74    0.740
 3193   74    0.740
 1376   73    0.730
 5012   73    0.730
  981   73    0.730
10468   73    0.730
10835   73    0.730
 2009   73    0.730
 2380   73    0.730
 8485   73    0.730
10686   73    0.730
 2206   73    0.730
11227   73    0.730
 3518   73    0.730
 4004   73    0.730
 6127   73    0.730
  170   73    0.730
 1674   72    0.720
 5422   72    0.720
10774   72    0.720
 2542   72    0.720
20191   72    0.720
 2748   72    0.720
  370   72    0.720
 4300   72    0.720
 4960   72    0.720
 1533   72    0.720
 2427   72    0.720
10362   72    0.720
10624   72    0.720
 3362   72    0.720
10643   71    0.710
 1366   71    0.710
  414   71    0.710
 2005   71    0.710
    6   71    0.710
 1915   71    0.710
 3352   71    0.710
27709   71    0.710
30372   71    0.710
13906   71    0.710
 1148   71    0.710
  265   71    0.710
10347   71    0.710
 1537   71    0.710
  258   71    0.710
16620   71    0.710
 7108   71    0.710
 6915   71    0.710
 1507   71    0.710
 4696   70    0.700
17695   70    0.700
 2000   70    0.700
 3024   70    0.700
 2007   70    0.700
28959   70    0.700
 2814   70    0.700
 4627   70    0.700
10970   70    0.700
 6222   70    0.700
 1047   70    0.700
 5226   70    0.700
 3379   69    0.690
 5594   69    0.690
  950   69    0.690
 1040   69    0.690
 4829   69    0.690
11559   69    0.690
 4991   69    0.690
 1645   69    0.690
 8500   69    0.690
27591   69    0.690
17096   69    0.690
 8917   69    0.690
 6629   69    0.690
 5346   69    0.690
 2205   69    0.690
11102   69    0.690
 1333   69    0.690
13826   69    0.690
 2036   69    0.690
12011   69    0.690
28333   69    0.690
  200   69    0.690
 9800   69    0.690
13401   69    0.690
 4786   68    0.680
 7441   68    0.680
10606   68    0.680
 8212   68    0.680
 2305   68    0.680
 3089   68    0.680
10638   68    0.680
 1924   68    0.680
 1874   68    0.680
13970   68    0.680
 4774   68    0.680
 1329   68    0.680
23452   68    0.680
  383   68    0.680
  145   68    0.680
  320   68    0.680
10609   68    0.680
 3458   67    0.670
 2959   67    0.670
 2477   67    0.670
10398   67    0.670
 3337   67    0.670
 1971   67    0.670
 6205   67    0.670
13039   67    0.670
10414   67    0.670
 2876   67    0.670
17097   67    0.670
 5776   67    0.670
  181   67    0.670
 1817   67    0.670
 1510   67    0.670
 2717   67    0.670
  526   67    0.670
  352   67    0.670
 8235   66    0.660
 1035   66    0.660
 3946   66    0.660
  683   66    0.660
 7243   66    0.660
10655   66    0.660
  300   66    0.660
28956   66    0.660
 7984   66    0.660
  283   66    0.660
 6192   66    0.660
13939   66    0.660
 2920   66    0.660
 4553   66    0.660
24832   66    0.660
10705   66    0.660
13912   66    0.660
 7407   66    0.660
11016   66    0.660
 3085   66    0.660
  697   66    0.660
 3180   66    0.660
10712   66    0.660
 2044   66    0.660
 6191   66    0.660
 6093   66    0.660
10720   66    0.660
  353   65    0.650
 6263   65    0.650
 5018   65    0.650
 5708   65    0.650
 9593   65    0.650
10208   65    0.650
10662   65    0.650
  783   65    0.650
 1968   65    0.650
23896   65    0.650
10354   65    0.650
 1668   65    0.650
  762   65    0.650
10630   65    0.650
 8766   65    0.650
 6587   65    0.650
10974   65    0.650
  685   65    0.650
  677   65    0.650
 1791   65    0.650
 6683   65    0.650
 2333   65    0.650
10602   65    0.650
 7205   65    0.650
  103   65    0.650
10666   65    0.650
 4678   65    0.650
 2894   65    0.650
11104   65    0.650
 2232   64    0.640
28335   64    0.640
 6663   64    0.640
 2244   64    0.640
 2283   64    0.640
 1264   64    0.640
 9567   64    0.640
 4655   64    0.640
 2494   64    0.640
 1059   64    0.640
 2015   64    0.640
 9153   64    0.640
  765   64    0.640
 8906   64    0.640
 7546   64    0.640
 1986   64    0.640
 3186   63    0.630
  628   63    0.630
 2436   63    0.630
   95   63    0.630
10238   63    0.630
 2068   63    0.630
 1310   63    0.630
11277   63    0.630
 3007   63    0.630
 2322   63    0.630
10693   63    0.630
 1179   63    0.630
  439   63    0.630
11842   63    0.630
 5820   63    0.630
 3924   63    0.630
 5657   63    0.630
10714   63    0.630
 4730   63    0.630
 8222   63    0.630
 2986   63    0.630
   58   63    0.630
10634   63    0.630
 5668   63    0.630
11017   63    0.630
20078   63    0.630
 4622   63    0.630
 1867   63    0.630
  430   62    0.620
 1854   62    0.620
 1315   62    0.620
10355   62    0.620
 2903   62    0.620
 3415   62    0.620
 2841   62    0.620
 8337   62    0.620
 1140   62    0.620
13356   62    0.620
 2105   62    0.620
 5672   62    0.620
23940   62    0.620
10382   62    0.620
42848   61    0.610
  564   61    0.610
 8165   61    0.610
14360   61    0.610
   51   61    0.610
 2905   61    0.610
 4902   61    0.610
 1269   61    0.610
10554   61    0.610
10707   61    0.610
  553   61    0.610
13416   61    0.610
   61   61    0.610
 8903   61    0.610
15159   61    0.610
 4689   61    0.610
20327   61    0.610
 2451   61    0.610
 2184   61    0.610
 4642   61    0.610
 2818   61    0.610
 8932   61    0.610
 5935   61    0.610
 6855   60    0.600
  185   60    0.600
 1139   60    0.600
 2410   60    0.600
 4618   60    0.600
 5693   60    0.600
  232   60    0.600
 2974   60    0.600
 5649   60    0.600
10446   60    0.600
 9868   60    0.600
  974   60    0.600
10619   60    0.600
 4890   60    0.600
 4639   60    0.600
12386   60    0.600
 1981   60    0.600
22414   60    0.600
 8926   60    0.600
 1345   60    0.600
  516   60    0.600
 5268   60    0.600
15128   60    0.600
 9417   60    0.600
 6194   60    0.600
10710   60    0.600
 6948   60    0.600
 2421   59    0.590
 2933   59    0.590
 6961   59    0.590
 9721   59    0.590
  624   59    0.590
10657   59    0.590
11813   59    0.590
 5950   59    0.590
 5617   59    0.590
10383   59    0.590
 4012   59    0.590
10656   59    0.590
 9740   59    0.590
 1536   59    0.590
 6196   59    0.590
10416   59    0.590
14207   59    0.590
 2175   59    0.590
14345   59    0.590
 9804   59    0.590
 5486   59    0.590
 6590   59    0.590
19601   59    0.590
 5605   59    0.590
10991   59    0.590
15570   59    0.590
10448   59    0.590
 5907   59    0.590
  477   59    0.590
  220   58    0.580
26717   58    0.580
 6379   58    0.580
 2312   58    0.580
12583   58    0.580
10664   58    0.580
 8907   58    0.580
 5592   58    0.580
 5754   58    0.580
  505   58    0.580
13951   58    0.580
 1316   58    0.580
 1049   58    0.580
 8908   58    0.580
19794   58    0.580
 1995   58    0.580
 2294   58    0.580
 4357   58    0.580
 4613   58    0.580
 6618   58    0.580
10700   58    0.580
 5443   58    0.580
12426   58    0.580
 2916   58    0.580
11682   58    0.580
17067   58    0.580
  279   58    0.580
 8622   58    0.580
 3409   58    0.580
10725   58    0.580
 4672   58    0.580
 2057   57    0.570
  190   57    0.570
  243   57    0.570
 2377   57    0.570
 6776   57    0.570
 7183   57    0.570
 7098   57    0.570
 2001   57    0.570
13005   57    0.570
 1071   57    0.570
  218   57    0.570
14812   57    0.570
 6280   57    0.570
 5424   57    0.570
 2040   57    0.570
10716   57    0.570
28859   57    0.570
 5634   57    0.570
12800   57    0.570
 4839   57    0.570
11931   57    0.570
10768   57    0.570
 4181   57    0.570
 8889   57    0.570
 1572   57    0.570
 3425   57    0.570
42847   57    0.570
 2289   57    0.570
 2256   57    0.570
 2601   56    0.560
10687   56    0.560
 5766   56    0.560
10658   56    0.560
 2282   56    0.560
  153   56    0.560
 2605   56    0.560
 6864   56    0.560
 5419   56    0.560
 2992   56    0.560
13818   56    0.560
28917   56    0.560
  990   56    0.560
  500   56    0.560
 9782   56    0.560
 2633   56    0.560
 1038   56    0.560
10966   56    0.560
10331   56    0.560
13429   56    0.560
 2493   56    0.560
 4045   56    0.560
 3179   56    0.560
20188   56    0.560
 3206   56    0.560
 8888   56    0.560
 5432   56    0.560
11913   56    0.560
 8981   55    0.550
10682   55    0.550
 5684   55    0.550
  986   55    0.550
  160   55    0.550
  802   55    0.550
11610   55    0.550
 2207   55    0.550
14547   55    0.550
10641   55    0.550
13914   55    0.550
 8924   55    0.550
 6917   55    0.550
 5843   55    0.550
 2217   55    0.550
  228   55    0.550
12855   55    0.550
 2014   55    0.550
23882   55    0.550
10734   55    0.550
 9114   55    0.550
 2130   55    0.550
 5208   55    0.550
 6101   55    0.550
11549   55    0.550
 7603   55    0.550
 1548   55    0.550
 2149   55    0.550
 3333   55    0.550
  322   55    0.550
 3661   55    0.550
 4659   55    0.550
  971   54    0.540
 5648   54    0.540
10761   54    0.540
 3160   54    0.540
 1798   54    0.540
 4959   54    0.540
 8216   54    0.540
 9748   54    0.540
16636   54    0.540
  419   54    0.540
 5733   54    0.540
12856   54    0.540
24600   54    0.540
 2077   54    0.540
 4334   54    0.540
 4093   54    0.540
 6012   54    0.540
 8934   54    0.540
 1970   54    0.540
 5641   54    0.540
10653   54    0.540
24999   54    0.540
  467   54    0.540
 8298   54    0.540
 6117   54    0.540
 6785   53    0.530
11514   53    0.530
19109   53    0.530
 2944   53    0.530
10737   53    0.530
10699   53    0.530
 1356   53    0.530
   52   53    0.530
 3642   53    0.530
 5355   53    0.530
 3682   53    0.530
11799   53    0.530
 5638   53    0.530
15726   53    0.530
 2313   53    0.530
  315   53    0.530
 1884   53    0.530
 6208   53    0.530
 7281   53    0.530
10351   53    0.530
 8992   53    0.530
 5730   53    0.530
 5047   53    0.530
 3064   53    0.530
 6001   53    0.530
 3786   53    0.530
 6973   53    0.530
 2316   53    0.530
 1805   53    0.530
 7032   53    0.530
 6584   53    0.530
 2215   53    0.530
13436   53    0.530
 3065   53    0.530
27586   53    0.530
 6099   53    0.530
 1248   52    0.520
20070   52    0.520
 1239   52    0.520
 2914   52    0.520
 2970   52    0.520
10790   52    0.520
10654   52    0.520
  922   52    0.520
 7379   52    0.520
 2536   52    0.520
16500   52    0.520
13535   52    0.520
 1866   52    0.520
 5038   52    0.520
 7924   52    0.520
 1913   52    0.520
10680   52    0.520
 6225   52    0.520
10377   52    0.520
 5618   52    0.520
 6310   52    0.520
 9130   52    0.520
 3295   52    0.520
30371   52    0.520
10363   52    0.520
 1500   52    0.520
 1142   52    0.520
  291   52    0.520
10633   52    0.520
 2817   52    0.520
  255   52    0.520
10640   52    0.520
 9064   51    0.510
  484   51    0.510
25256   51    0.510
 1212   51    0.510
 1974   51    0.510
 2660   51    0.510
 6170   51    0.510
 9887   51    0.510
 5595   51    0.510
 7545   51    0.510
  169   51    0.510
 9560   51    0.510
 4412   51    0.510
 1662   51    0.510
  749   51    0.510
 1641   51    0.510
 6036   51    0.510
10781   51    0.510
  978   51    0.510
10802   51    0.510
 8902   51    0.510
 1393   51    0.510
 1087   51    0.510
 5762   51    0.510
  486   50    0.500
10613   50    0.500
 1973   50    0.500
 5646   50    0.500
 2972   50    0.500
 6592   50    0.500
 2484   50    0.500
18580   50    0.500
10697   50    0.500
 5326   50    0.500
14611   50    0.500
 6736   50    0.500
 4771   50    0.500
 1546   50    0.500
 1582   50    0.500
 8240   50    0.500
  999   50    0.500
10392   50    0.500
 1626   50    0.500
26714   50    0.500
 7501   50    0.500
 8150   50    0.500
 8297   50    0.500
10702   50    0.500
 1843   50    0.500
  824   50    0.500
 6139   50    0.500
 5091   50    0.500
 2858   50    0.500
  681   50    0.500
13936   50    0.500
  641   50    0.500
10709   50    0.500
 5711   50    0.500
 2151   50    0.500
 4546   49    0.490
 2434   49    0.490
 7870   49    0.490
 6596   49    0.490
28846   49    0.490
 2085   49    0.490
 2062   49    0.490
 2059   49    0.490
20032   49    0.490
 6624   49    0.490
 4559   49    0.490
 6652   49    0.490
 9154   49    0.490
 1604   49    0.490
 4312   49    0.490
  348   49    0.490
 5694   49    0.490
 5002   49    0.490
20349   49    0.490
 1219   49    0.490
16265   49    0.490
 2888   49    0.490
 7450   49    0.490
 1192   49    0.490
 2979   49    0.490
 5213   49    0.490
 4762   49    0.490
 2886   49    0.490
13907   49    0.490
11188   49    0.490
  271   49    0.490
 2923   49    0.490
16223   49    0.490
 1155   49    0.490
12877   49    0.490
 8474   49    0.490
 2859   48    0.480
 7318   48    0.480
  979   48    0.480
 3427   48    0.480
  404   48    0.480
 5674   48    0.480
 5758   48    0.480
 1557   48    0.480
 1932   48    0.480
13311   48    0.480
 1213   48    0.480
 6964   48    0.480
 9952   48    0.480
 9970   48    0.480
 1598   48    0.480
  454   48    0.480
 1008   48    0.480
 6054   48    0.480
 5868   48    0.480
 1037   48    0.480
 1570   48    0.480
  706   48    0.480
  878   48    0.480
24814   48    0.480
 1701   48    0.480
 3846   48    0.480
 5152   48    0.480
  299   48    0.480
  180   48    0.480
 5798   48    0.480
10628   48    0.480
13945   48    0.480
20088   48    0.480
 1362   48    0.480
 5699   48    0.480
   21   48    0.480
 1785   48    0.480
 6665   48    0.480
 3668   48    0.480
 3637   48    0.480
10436   48    0.480
13345   48    0.480
11548   48    0.480
 6832   48    0.480
12087   48    0.480
12808   47    0.470
 7906   47    0.470
 2715   47    0.470
10721   47    0.470
26359   47    0.470
 6619   47    0.470
 9806   47    0.470
 8604   47    0.470
 1069   47    0.470
 8125   47    0.470
23926   47    0.470
20190   47    0.470
 1170   47    0.470
 8303   47    0.470
 7814   47    0.470
20068   47    0.470
18980   47    0.470
13908   47    0.470
  945   47    0.470
10470   47    0.470
10809   47    0.470
  892   47    0.470
  718   47    0.470
 5982   47    0.470
 9794   47    0.470
 5274   47    0.470
 1503   47    0.470
10435   47    0.470
 3384   47    0.470
10701   47    0.470
 1887   47    0.470
  106   47    0.470
13448   47    0.470
 6240   47    0.470
 5707   47    0.470
 6252   47    0.470
 7437   47    0.470
 1220   47    0.470
 9792   47    0.470
 1634   47    0.470
11544   47    0.470
17070   47    0.470
    5   47    0.470
 8941   46    0.460
  474   46    0.460
 3122   46    0.460
 1499   46    0.460
 2885   46    0.460
 1545   46    0.460
13503   46    0.460
10728   46    0.460
 6954   46    0.460
 5998   46    0.460
 3662   46    0.460
 3082   46    0.460
 2229   46    0.460
 6694   46    0.460
 6193   46    0.460
17079   46    0.460
 6734   46    0.460
 6186   46    0.460
30518   46    0.460
 6851   46    0.460
15822   46    0.460
 2387   46    0.460
 2201   46    0.460
 6599   46    0.460
 9901   46    0.460
 6303   46    0.460
 6912   46    0.460
11350   46    0.460
 7987   46    0.460
 4710   46    0.460
 4533   46    0.460
 3898   46    0.460
10352   46    0.460
10357   46    0.460
 5532   46    0.460
 6304   46    0.460
  818   46    0.460
  101   46    0.460
14230   46    0.460
  834   46    0.460
 9041   46    0.460
 4961   46    0.460
 1242   46    0.460
 2003   46    0.460
10762   46    0.460
  236   46    0.460
 7515   46    0.460
  603   45    0.450
18661   45    0.450
 2012   45    0.450
 1247   45    0.450
 3081   45    0.450
 1050   45    0.450
10616   45    0.450
24206   45    0.450
 8517   45    0.450
11369   45    0.450
 5955   45    0.450
 6725   45    0.450
 6759   45    0.450
20386   45    0.450
 7986   45    0.450
 3864   45    0.450
 5381   45    0.450
 2385   45    0.450
  202   45    0.450
 4605   45    0.450
12671   45    0.450
 3111   45    0.450
10420   45    0.450
 1776   45    0.450
 1061   45    0.450
 2241   45    0.450
 1156   45    0.450
 1398   45    0.450
 1528   45    0.450
 6787   45    0.450
 3037   45    0.450
 1902   45    0.450
 2293   45    0.450
