   40 1134    42.138
   44 1055    37.334
  167  137    5.681
 3154  137    5.663
 6921  139    5.656
  155  171    5.652
 5025  142    5.650
 2881  190    5.635
 1531  167    5.603
   13  150    5.595
  673  150    5.568
 8440  158    5.558
13599  123    5.550
10729  144    5.544
 1017  155    5.537
 1936  160    5.524
10359  132    5.514
 1870  119    5.501
 2180  168    5.478
 4629  146    5.456
 1331  166    5.440
11003  117    5.418
10620  146    5.411
  280  163    5.410
 1883  119    5.393
 1890  109    5.383
 1542  128    5.366
 2453  149    5.342
 3109  157    5.314
   29  141    5.298
10608  149    5.297
 1999  122    5.288
 1786  166    5.278
10605  131    5.270
 1505  135    5.265
 4545  149    5.261
10659  145    5.248
 6934  126    5.247
 1552  137    5.231
  237  121    5.224
 7155  147    5.214
  230  124    5.209
   20  132    5.208
 2954  129    5.205
11208  119    5.195
 1497  138    5.178
 4612  147    5.178
   17  153    5.166
  263  132    5.163
 2975  123    5.154
 1013  173    5.150
10661  139    5.143
 3309  149    5.108
   75  146    5.105
10717  125    5.102
 1077  117    5.076
10393  141    5.064
  281  151    5.020
  915  139    5.017
  836  108    5.013
  457  117    5.013
10963  132    5.001
 2133  149    5.000
  182  143    4.985
 1906  127    4.978
 1075  132    4.956
 1451  118    4.951
  427  150    4.929
10871  111    4.926
 2664  121    4.918
  730  139    4.900
 5488  142    4.894
  433  121    4.891
 2912  118    4.870
  213  117    4.869
  305  156    4.854
 1917  109    4.852
10650  139    4.846
10373  155    4.835
 6598   98    4.823
10612  121    4.819
24824  107    4.796
10374  113    4.775
 9109  124    4.768
 5016  124    4.768
14814  108    4.752
 5681  120    4.746
  658  126    4.734
25862   93    4.728
 1207  162    4.725
  773  130    4.702
  215  147    4.701
  590  103    4.693
 2371  119    4.691
 4985  111    4.674
 1578  135    4.671
  415  152    4.670
 1455  107    4.652
   69  158    4.640
10394  119    4.637
 1029  134    4.634
  223  111    4.629
  282  128    4.628
 2262  126    4.617
  740  125    4.616
  622  107    4.616
 1632  138    4.602
10621  128    4.601
  431  106    4.588
 7558  112    4.585
 2839  107    4.571
   42  115    4.570
 2847  123    4.569
10610  125    4.553
   50  130    4.531
 2840  129    4.530
 6677  108    4.518
  626  135    4.518
10665  137    4.493
 2842  137    4.484
 9949  108    4.482
  554  105    4.479
 5415  139    4.477
 1530   95    4.469
  703  115    4.453
13962  112    4.450
  231  113    4.442
 6614  120    4.422
 2038  119    4.421
 1027  118    4.420
 1956  116    4.409
 4843   95    4.397
 1051  109    4.393
 5331  125    4.391
  444  128    4.385
 5655  107    4.382
 2806  121    4.378
 6902  124    4.363
 1771  125    4.355
11568  106    4.354
10333  131    4.325
13932  121    4.315
10348  128    4.313
  630  121    4.297
 6782   93    4.296
 1863   96    4.290
 4840  117    4.275
13931  113    4.262
 9112  100    4.258
 2767   97    4.255
  970  115    4.255
  389  112    4.252
 2809  112    4.243
10639   93    4.242
 1994  117    4.239
 1935  103    4.234
 8898  102    4.215
 3417   98    4.211
 5014   98    4.211
 1891  103    4.207
 1562  114    4.200
  324  113    4.199
    0  120    4.197
  721  107    4.193
 1910  118    4.186
10676   97    4.165
 2990   95    4.163
 3558  101    4.151
 5642  112    4.144
 9595  117    4.140
  760  124    4.129
10627  115    4.120
  639  101    4.115
10376   91    4.114
 3060  105    4.110
  217  118    4.105
 6609  112    4.090
  147  130    4.090
 2669  125    4.085
 1444  114    4.083
 1446  104    4.082
  629  125    4.058
10458   91    4.051
 2284  118    4.051
 1523   93    4.044
  449  113    4.037
 3784  117    4.032
 4548  105    4.029
10338   95    4.028
 2892  124    4.003
  962   97    4.003
 2883  109    3.997
10642  109    3.997
10371  107    3.995
 1005   96    3.993
 5215  111    3.990
 3063  101    3.989
 1508  118    3.988
 3801  106    3.985
  647  101    3.980
 1559  112    3.973
 1815  114    3.966
17304   82    3.961
  115  126    3.951
  754  118    3.925
13142  121    3.919
10361  127    3.916
11260  103    3.910
10618  107    3.905
  254  101    3.899
 2147  119    3.899
 1460  115    3.895
 6585   99    3.888
  678  112    3.883
 7298   91    3.880
 2808  110    3.872
 6595  109    3.862
 1901  113    3.848
 6899  103    3.847
 2386   97    3.841
 6904  119    3.836
  109  116    3.833
   68   86    3.821
 2163  124    3.805
 5670   96    3.795
10635  109    3.790
  222   90    3.789
10397   97    3.787
 3883   90    3.762
 1319   95    3.740
  171   74    3.737
 3885   87    3.732
11377   96    3.732
 5033   77    3.731
10345   92    3.728
  568   94    3.721
  364   99    3.717
  572   87    3.714
 6911  103    3.712
 3080  121    3.712
10604   92    3.710
 5270   85    3.703
  234  101    3.701
20323  105    3.696
 4657   95    3.695
 1861   95    3.695
 5003  100    3.682
   12  113    3.677
  662   90    3.672
 7162  100    3.664
10724   96    3.660
10683   98    3.653
 1912  121    3.649
 2995  105    3.642
10402   93    3.639
 5310  100    3.610
 3158   93    3.594
  653   96    3.588
 4723  109    3.583
 9944   90    3.582
 2216   94    3.577
 2146   81    3.573
 6863  109    3.565
10645   84    3.558
10208   65    3.548
 2849   90    3.546
10637  121    3.532
 9874   89    3.527
10830   75    3.513
 1448  114    3.507
 3672   94    3.505
 8983   98    3.500
 2913   96    3.498
10648   87    3.480
10410   75    3.477
 3523   76    3.469
  253  117    3.465
13728  108    3.456
  183   97    3.454
 7844   91    3.439
 2810   89    3.437
  412   79    3.427
10622   87    3.426
 1668   65    3.422
  644   98    3.419
  633   88    3.418
 6910  112    3.415
10624   72    3.411
22194   98    3.410
 1074  106    3.409
  173   92    3.404
   47   90    3.402
 5746   82    3.394
10660   79    3.391
10674   96    3.390
 3479   89    3.383
  226   98    3.383
 1353   89    3.383
 7103   98    3.374
 1080   81    3.366
  413   82    3.358
 6612  100    3.358
10690   99    3.357
13729   89    3.356
 2451   61    3.355
 5610   97    3.346
  342   75    3.342
 2134   84    3.342
 5028   89    3.338
 2712  106    3.337
 6620   75    3.333
  362  111    3.333
 9014   90    3.330
 2432   77    3.317
 2865   94    3.298
 6936   83    3.296
13826   69    3.291
28167   85    3.289
 3180   66    3.288
 3350   88    3.283
 2832   84    3.279
13910   91    3.277
 2672   74    3.269
 3338   84    3.252
10353   94    3.244
 5021   93    3.243
 2222   92    3.242
 1817   67    3.235
  216   92    3.233
 5665   82    3.232
 6198   80    3.230
 2007   70    3.229
 2355   78    3.228
  582   77    3.227
27333   77    3.218
  984   83    3.215
 2360   92    3.215
 1868   96    3.210
10652   91    3.205
 3314   91    3.205
 7220   88    3.202
 8725   75    3.198
10630   65    3.197
 8588   82    3.196
10337   78    3.192
  491  102    3.189
11227   73    3.178
 2136   81    3.177
 9661   94    3.172
  697   66    3.171
 1667   84    3.171
 3193   74    3.170
 2903   62    3.167
  969   89    3.167
 9220   77    3.164
  632   95    3.164
 5679   76    3.163
 5724   94    3.163
 4617   80    3.158
13928   97    3.157
13939   66    3.153
 5656   90    3.150
 7528   80    3.149
  687   79    3.148
  493   79    3.148
 7243   66    3.144
 6214   84    3.144
 1998  108    3.141
  258   71    3.140
 2814   70    3.139
  221  105    3.138
10631   76    3.136
 1015   83    3.134
  227  101    3.134
 1520   99    3.132
10370   87    3.129
 2305   68    3.128
14812   57    3.126
   18   84    3.126
 1160   92    3.125
 6898  106    3.121
 7114   76    3.118
10339  106    3.112
10960   83    3.107
 2140   91    3.106
 7084  108    3.105
 7115   87    3.102
  762   65    3.098
 2105   62    3.095
 1109   83    3.089
 8466   91    3.088
 2843   78    3.084
 2495   85    3.082
 1154   91    3.079
 1333   69    3.066
 8485   73    3.061
 2206   73    3.061
24600   54    3.060
 1984   97    3.058
 2103   76    3.055
 3379   69    3.039
13683   76    3.037
 2917   82    3.034
 5727   81    3.033
    6   71    3.032
 2297   77    3.029
 2052   75    3.027
 1791   65    3.026
 2404   79    3.022
27591   69    3.021
 7524   90    3.015
 2036   69    3.012
 9569   82    3.007
10743   82    3.007
 8385   91    3.007
 6217   82    3.007
 5761   87    3.003
14604   95    3.002
 2948   94    3.001
10663   78    2.994
  246   76    2.983
 2494   64    2.980
 5425   77    2.975
10398   67    2.974
11204   81    2.970
 4835   77    2.966
 2428   77    2.966
 3933   83    2.963
 6118   83    2.963
 1915   71    2.960
 1525   87    2.958
10656   59    2.957
  179   76    2.956
 3227   75    2.955
 6127   73    2.953
28959   70    2.941
10336   76    2.938
 3710   81    2.934
18322   89    2.933
 4902   61    2.923
10877   89    2.915
 2000   70    2.914
 5591   88    2.914
 1940   87    2.913
 1094   82    2.908
10643   71    2.906
 2176   84    2.901
 9153   64    2.899
   61   61    2.896
28911   78    2.895
14345   59    2.894
  712   75    2.892
 5667   78    2.886
  783   65    2.882
 5785   77    2.876
 3305   85    2.875
 2483  101    2.873
 2009   73    2.863
 5422   72    2.862
 3089   68    2.858
 2287   74    2.855
11583   98    2.852
 1453   87    2.841
10414   67    2.839
 2910   81    2.835
 4627   70    2.833
 5632   84    2.829
10774   72    2.826
 3362   72    2.826
 2873   80    2.825
 5776   67    2.821
  170   73    2.818
 9126   82    2.818
12577   86    2.813
11334   76    2.812
13401   69    2.805
 6903   78    2.805
 5408   77    2.804
13356   62    2.798
10777   78    2.796
  353   65    2.792
 1981   60    2.787
 5012   73    2.782
10686   73    2.782
 1366   71    2.780
  852   88    2.779
 1345   60    2.778
 8622   58    2.776
42847   57    2.775
  319   74    2.774
10343   77    2.768
 4689   61    2.761
13914   55    2.755
 5684   55    2.755
16620   71    2.753
 8493   88    2.752
 7602   87    2.751
 8469   85    2.749
 2044   66    2.748
 3007   63    2.745
 1068   81    2.745
 2601   56    2.738
 5018   65    2.738
  439   63    2.736
13906   71    2.735
 6915   71    2.735
 6222   70    2.734
 3458   67    2.731
10720   66    2.730
 1376   73    2.728
 8222   63    2.727
10363   52    2.725
 8212   68    2.723
22414   60    2.715
23929   77    2.714
 2717   67    2.713
  765   64    2.710
 4730   63    2.709
 2408   77    2.705
 2916   58    2.704
 4678   65    2.702
 5820   63    2.700
   95   63    2.700
20191   72    2.691
 1909   81    2.691
 8500   69    2.688
 4553   66    2.685
10835   73    2.674
11559   69    2.670
 2333   65    2.666
  677   65    2.666
  753   82    2.656
 6205   67    2.650
 5657   63    2.646
10613   50    2.642
 6961   59    2.642
10542   75    2.640
11017   63    2.637
 6093   66    2.631
 3186   63    2.628
10355   62    2.627
 4771   50    2.624
 9740   59    2.624
 5592   58    2.623
   58   63    2.619
 1511   89    2.618
10332   87    2.616
10609   68    2.615
13970   68    2.615
10436   48    2.613
 2908   77    2.606
 6913   86    2.606
 2294   58    2.605
 2876   67    2.605
 8235   66    2.604
 5935   61    2.599
 8903   61    2.599
  232   60    2.598
10991   59    2.597
10685   85    2.596
 4960   72    2.592
 1148   71    2.591
 2057   57    2.586
 2001   57    2.586
10354   65    2.585
10468   73    2.584
 1884   53    2.582
16728   79    2.581
 6948   60    2.580
 1502   75    2.577
10653   54    2.574
  526   67    2.569
 7375   75    2.568
 1533   72    2.565
 3024   70    2.563
 1035   66    2.559
 4004   73    2.557
  650   88    2.554
  211   77    2.552
10708   95    2.552
 1590   74    2.549
 2130   55    2.548
20078   63    2.547
  370   72    2.547
10334   81    2.547
 8992   53    2.546
 1507   71    2.546
 8917   69    2.544
 4829   69    2.544
  387   77    2.543
13039   67    2.542
 6372   78    2.535
   11   74    2.531
  959   78    2.526
 4991   69    2.526
 2244   64    2.521
 1310   63    2.520
 2905   61    2.518
 9800   69    2.517
 2149   55    2.512
 5668   63    2.511
 1762   78    2.508
 1509   76    2.506
10362   72    2.502
 2379   80    2.501
 9868   60    2.499
 1164   78    2.499
 6664   76    2.497
 8715   76    2.497
 2833   83    2.495
 4959   54    2.493
  950   69    2.490
  477   59    2.489
 1510   67    2.488
  625   85    2.488
 3946   66    2.487
 5441   75    2.487
 6636   81    2.484
 1537   71    2.483
 1142   52    2.482
 4696   70    2.482
11102   69    2.481
11948   76    2.479
10641   55    2.476
 2232   64    2.476
 6012   54    2.475
  265   71    2.474
15159   61    2.473
10644   79    2.473
 5901   78    2.472
25256   51    2.463
 1874   68    2.462
13907   49    2.461
  181   67    2.461
 5708   65    2.459
 1968   65    2.459
23926   47    2.459
 2427   72    2.457
 1179   63    2.457
 2542   72    2.457
10693   63    2.448
 1674   72    2.448
23940   62    2.447
 4012   59    2.444
17097   67    2.443
 6587   65    2.441
 1059   64    2.440
 1264   64    2.440
 2322   63    2.439
 2436   63    2.439
10761   54    2.439
 5430   81    2.439
 4871   80    2.438
 2841   62    2.438
 3415   62    2.438
 2477   67    2.434
 6192   66    2.433
  628   63    2.430
20327   61    2.428
10554   61    2.428
10383   59    2.426
 5649   60    2.418
 1645   69    2.418
  243   57    2.415
  300   66    2.415
 4642   61    2.410
12386   60    2.409
 3739   77    2.408
10657   59    2.399
 3409   58    2.398
    2   83    2.396
 5635   79    2.392
 5168   43    2.392
 9064   51    2.391
  818   46    2.386
   26   80    2.384
 2818   61    2.383
 2205   69    2.382
 5594   69    2.382
  352   67    2.380
28335   64    2.377
 6050   82    2.377
10238   63    2.376
  978   51    2.373
 6629   69    2.373
 4762   49    2.371
 7814   47    2.369
 7108   71    2.366
 2005   71    2.366
17695   70    2.365
28333   69    2.364
 2003   46    2.359
  986   55    2.359
 7032   53    2.357
 6310   52    2.356
  484   51    2.355
 1139   60    2.355
 4786   68    2.354
  990   56    2.351
 2633   56    2.351
 1038   56    2.351
 4334   54    2.349
  414   71    2.348
30372   71    2.348
 5744   75    2.343
 6263   65    2.342
 1040   69    2.337
11346   78    2.337
10702   50    2.336
 6618   58    2.335
12426   58    2.335
 2283   64    2.332
 4655   64    2.332
 1854   62    2.330
10416   59    2.327
13084   77    2.327
 8908   58    2.326
  220   58    2.326
 3206   56    2.324
  103   65    2.324
10331   56    2.324
  981   73    2.323
15570   59    2.318
 5318   75    2.316
 6683   65    2.315
 9041   46    2.314
  553   61    2.311
 7374   79    2.311
 6241   42    2.310
 6196   59    2.309
  383   68    2.309
 8888   56    2.306
11913   56    2.306
 4085   38    2.306
 6864   56    2.306
 3518   73    2.305
 6584   53    2.303
 3064   53    2.303
  200   69    2.301
10606   68    2.300
 5950   59    2.300
 1971   67    2.299
  218   57    2.298
 7205   65    2.297
 5346   69    2.292
 2151   50    2.291
13912   66    2.289
 7407   66    2.289
 1557   48    2.289
 2014   55    2.287
 3786   53    2.285
10970   70    2.284
 6170   51    2.283
 2356   77    2.282
 2959   67    2.281
  683   66    2.280
 6208   53    2.276
  824   50    2.273
 2888   49    2.272
  279   58    2.272
10714   63    2.268
11842   63    2.268
 5355   53    2.267
 6001   53    2.267
 1239   52    2.266
10710   60    2.265
 1536   59    2.264
 6832   48    2.262
28956   66    2.262
10721   47    2.261
 7379   52    2.257
10707   61    2.257
 8967   74    2.252
 8150   50    2.246
 4357   58    2.245
 1572   57    2.244
  418   84    2.244
  153   56    2.243
10634   63    2.241
 6736   50    2.237
  977   84    2.235
 8766   65    2.234
 2748   72    2.232
 5326   50    2.228
 1604   49    2.227
 7450   49    2.227
 7183   57    2.226
23882   55    2.224
 2380   73    2.224
 5730   53    2.222
 2184   61    2.221
 5617   59    2.219
 1316   58    2.218
 9018   76    2.218
12800   57    2.217
10961   45    2.214
 2986   63    2.214
 4300   72    2.214
 5672   62    2.213
  749   51    2.211
 4639   60    2.211
10448   59    2.210
 8297   50    2.210
 6191   66    2.208
10347   71    2.204
17096   69    2.202
 2605   56    2.198
 2947   82    2.197
13436   53    2.195
   52   53    2.195
10638   68    2.192
 6665   48    2.190
 7984   66    2.190
10412   45    2.187
 5473   44    2.186
 3295   52    2.185
23452   68    2.183
 3425   57    2.181
24999   54    2.178
 5078   44    2.177
 2215   53    2.177
 5226   70    2.176
 1626   50    2.174
 5532   46    2.170
 3333   55    2.170
11813   59    2.165
 9154   49    2.164
 8474   49    2.164
10768   57    2.163
13685   44    2.159
 1899   78    2.157
  271   49    2.155
 2256   57    2.154
  430   62    2.150
19601   59    2.147
 2421   59    2.147
 1329   68    2.147
 1924   68    2.147
 4229   40    2.146
 8125   47    2.144
23896   65    2.144
 5381   45    2.142
 7614   44    2.141
12011   69    2.139
 6139   50    2.138
  283   66    2.136
 3846   48    2.136
 4839   57    2.136
10655   66    2.136
 9782   56    2.135
 2894   65    2.135
 9806   47    2.135
 1776   45    2.133
 8957   44    2.132
 1140   62    2.132
 2085   49    2.128
 1598   48    2.127
  979   48    2.127
  238   75    2.127
11104   65    2.126
10687   56    2.126
 6694   46    2.125
11549   55    2.125
 3642   53    2.123
 2933   59    2.120
 5764   40    2.119
 9970   48    2.118
10666   65    2.117
 9593   65    2.117
 1242   46    2.116
 4890   60    2.112
 5208   55    2.107
  322   55    2.107
 1805   53    2.105
 5424   57    2.100
 3179   56    2.099
12855   55    2.098
11277   63    2.097
 5641   54    2.097
 6973   53    2.096
 1812   43    2.095
23924   41    2.093
  505   58    2.092
10602   65    2.090
10790   52    2.086
10716   57    2.082
 7098   57    2.082
 8924   55    2.080
  467   54    2.079
 8932   61    2.077
26714   50    2.075
10709   50    2.075
 6379   58    2.074
13951   58    2.074
 1213   48    2.073
 4181   57    2.073
 1634   47    2.072
 3864   45    2.070
 5213   49    2.065
 3337   67    2.065
  878   48    2.064
  454   48    2.064
 5766   56    2.063
 2820   74    2.063
 6101   55    2.062
 1902   45    2.061
12856   54    2.061
 2339   42    2.058
 4622   63    2.052
10351   53    2.051
   51   61    2.050
 6851   46    2.044
13547   44    2.042
 1300   43    2.041
 2536   52    2.041
 1770   41    2.039
 3690   40    2.038
 5801   39    2.037
11931   57    2.037
  500   56    2.036
12317   43    2.032
10972   43    2.032
  564   61    2.032
 9417   60    2.031
 7441   68    2.030
 6590   59    2.030
14611   50    2.030
 5907   59    2.030
  225   40    2.029
19794   58    2.029
 7227   40    2.029
  190   57    2.028
 3898   46    2.026
10737   53    2.024
 3065   53    2.024
19109   53    2.024
 2517   41    2.021
13936   50    2.021
12583   58    2.020
11682   58    2.020
17067   58    2.020
 8889   57    2.019
 1503   47    2.018
10682   55    2.017
 1970   54    2.016
 4171   44    2.015
 2410   60    2.013
 9560   51    2.013
15128   60    2.013
 5443   58    2.011
10664   58    2.011
 1798   54    2.007
 1528   45    2.007
 6827   34    2.005
 2175   59    2.003
 5634   57    2.001
 6785   53    1.997
 2970   52    1.996
 6304   46    1.990
 7546   64    1.990
 2316   53    1.988
 5038   52    1.987
18298   32    1.985
20207   41    1.985
28846   49    1.984
 2923   49    1.984
 1986   64    1.981
 7885   37    1.981
 8517   45    1.980
 1867   63    1.980
 3924   63    1.980
 3682   53    1.979
 8054   44    1.979
14360   61    1.978
 8240   50    1.976
  802   55    1.972
 1548   55    1.972
24206   45    1.971
 2241   45    1.971
11091   43    1.969
 1452   43    1.969
 1974   51    1.968
11188   49    1.966
 2062   49    1.966
 5868   48    1.965
 3668   48    1.965
  474   46    1.963
 8170   27    1.962
 3072   45    1.962
  667   44    1.961
23941   43    1.960
16265   49    1.957
 3637   48    1.956
  236   46    1.954
 2207   55    1.954
 1315   62    1.952
 2224   42    1.950
 5881   42    1.950
 5268   60    1.950
  145   68    1.949
 3218   43    1.942
 5819   43    1.942
 6225   52    1.942
 6343   42    1.941
 8191   41    1.940
 7437   47    1.937
20190   47    1.937
 2553   43    1.933
13361   42    1.932
 6017   41    1.931
 2312   58    1.930
11016   66    1.929
10974   65    1.928
 3661   55    1.927
 2313   53    1.925
 1244   42    1.923
 6194   60    1.923
 5711   50    1.922
  624   59    1.922
  320   68    1.922
 1995   58    1.921
26359   47    1.919
28917   56    1.919
 8981   55    1.918
 8906   64    1.918
 5648   54    1.917
 9748   54    1.917
 4618   60    1.914
 2826   40    1.912
 4886   40    1.912
20349   49    1.912
10700   58    1.912
11610   55    1.909
16719   37    1.909
 2949   36    1.908
 2524   45    1.908
 2974   60    1.905
  486   50    1.904
28776   38    1.901
 9567   64    1.900
 2015   64    1.900
 3111   45    1.899
 5680   36    1.899
 9670   35    1.898
11126   35    1.898
 5638   53    1.898
 1866   52    1.897
 1178   43    1.897
 5091   50    1.895
 1049   58    1.894
 2289   57    1.893
12632   38    1.892
18646   38    1.892
 6252   47    1.892
  101   46    1.891
 2944   53    1.889
 1170   47    1.883
 4045   56    1.883
 7515   46    1.882
 8556   36    1.881
 4093   54    1.881
 1006   44    1.880
15726   53    1.880
   88   34    1.879
 7517   43    1.879
20070   52    1.879
10747   41    1.877
 6240   47    1.874
11720   28    1.873
 4690   80    1.871
13416   61    1.870
10766   43    1.870
42848   61    1.870
  185   60    1.869
 9416   42    1.869
 2318   39    1.866
 2587   39    1.866
 2920   66    1.866
18580   50    1.859
 1997   40    1.858
 4613   58    1.858
 5957   30    1.857
 1932   48    1.857
 3085   66    1.857
 2040   57    1.857
24832   66    1.857
10662   65    1.856
    5   47    1.856
30518   46    1.855
14230   46    1.855
 9130   52    1.852
 3945   43    1.852
  291   52    1.852
10654   52    1.852
 1843   50    1.850
 9804   59    1.850
 9725   40    1.849
 2885   46    1.846
15822   46    1.846
 7392   44    1.844
 7406   42    1.842
  341   41    1.841
  368   41    1.841
 7870   49    1.840
 4386   40    1.840
  706   48    1.839
 5152   48    1.839
 1573   37    1.837
10762   46    1.837
 6954   46    1.837
10756   36    1.836
 6787   45    1.836
10699   53    1.835
 7924   52    1.834
 7312   40    1.831
 4672   58    1.831
 5450   39    1.830
17962   38    1.829
 2183   36    1.827
 2817   52    1.825
15307   43    1.825
 5489   42    1.824
 6855   60    1.824
13686   41    1.823
 6280   57    1.821
 6053   39    1.821
10705   66    1.821
 5674   48    1.821
 1071   57    1.821
 2344   38    1.820
 6727   38    1.820
 1512   37    1.819
 1664   37    1.819
 5843   55    1.819
10734   55    1.819
10404   37    1.819
 2068   63    1.818
 2077   54    1.818
 5733   54    1.818
13390   43    1.816
10619   60    1.815
 9721   59    1.814
29103   40    1.813
 2555   40    1.813
10628   48    1.812
 6619   47    1.811
12671   45    1.809
 5039   35    1.808
 6264   35    1.808
 1913   52    1.807
10633   52    1.807
 8812   42    1.806
 6596   49    1.804
 7692   37    1.801
 6117   54    1.800
 2385   45    1.800
 5732   43    1.798
 8578   34    1.798
 6880   41    1.796
 6624   49    1.795
  299   48    1.794
 1008   48    1.794
10357   46    1.792
27710   37    1.792
20386   45    1.791
25762   35    1.790
 3352   71    1.790
 1607   42    1.788
 6036   51    1.788
 8067   32    1.787
 5844   45    1.782
 2012   45    1.782
 2430   43    1.780
  278   30    1.776
10701   47    1.775
 8303   47    1.775
 9792   47    1.775
 1545   46    1.774
 2201   46    1.774
16202   44    1.772
 1720   44    1.772
  315   53    1.772
 4995   44    1.772
 2066   42    1.770
27388   30    1.767
 6054   48    1.767
10911   38    1.766
 5998   46    1.765
 6725   45    1.764
 7443   42    1.761
11680   41    1.760
 1546   50    1.760
11548   48    1.758
 2493   56    1.757
  718   47    1.757
 2455   74    1.757
  160   55    1.756
 8298   54    1.755
26686   45    1.755
 6604   44    1.754
17240   43    1.753
 6746   41    1.751
20321   41    1.751
10852   41    1.751
10795   40    1.750
 8595   40    1.750
 8055   39    1.749
20068   47    1.748
13908   47    1.748
 4542   37    1.747
12645   44    1.745
10947   26    1.745
 9738   44    1.745
 6110   44    1.745
 1356   53    1.745
 8479   43    1.744
10706   40    1.741
26717   58    1.741
13952   39    1.740
28859   57    1.740
   37   82    1.738
 6912   46    1.738
 3160   54    1.737
 7281   53    1.736
11692   44    1.736
  516   60    1.734
  974   60    1.734
15386   41    1.733
 2041   40    1.732
  404   48    1.731
20088   48    1.731
  656   39    1.731
 2235   38    1.730
  685   65    1.730
 9695   36    1.728
 7895   44    1.727
27586   53    1.727
 1443   42    1.725
10446   60    1.725
 2645   41    1.724
 2978   39    1.722
 8130   38    1.721
 4646   37    1.720
 5866   35    1.718
 5739   41    1.715
  999   50    1.715
 6570   41    1.715
10658   56    1.712
 5432   56    1.712
 2282   56    1.712
 6663   64    1.711
 7987   46    1.711
   16   36    1.710
 7704   34    1.708
10368   42    1.707
 6234   32    1.706
 1219   49    1.705
 8907   58    1.705
 1192   49    1.705
 6776   57    1.704
11523   39    1.704
12263   35    1.700
10382   62    1.700
 1641   51    1.698
 6964   48    1.695
 2992   56    1.694
 6193   46    1.693
 4172   36    1.692
 9547   35    1.691
 1462   34    1.690
 1721   34    1.690
 7545   51    1.689
 6592   50    1.688
 4546   49    1.687
  998   31    1.687
 8030   31    1.687
 5694   49    1.687
20551   30    1.686
24814   48    1.686
 5798   48    1.686
 2859   48    1.686
